Name,Status,Province,Population
Compacazo,Locality,El Collao,219
Comunidad,Locality,Sandia,311
Conchaca,Locality,El Collao,413
Conduriri,Main Locality,El Collao,633
Conima,Main Locality,Moho,921
Contihuyo,Locality,San Antonio de Putina,238
Copani,Main Locality,Yunguyo,620
Corani,Urban Main Locality,Carabaya,658
Corimayo,Locality,Carabaya,235
Cotaña,Locality,Puno,231
Coyorana,Locality,Carabaya,341
Crucero,Urban Main Locality,Carabaya,"7,413"
Crucero,Locality,Chucuito,214
Cucho Yanaoco,Locality,Huancané,272
Cuinchaca,Locality,San Román,217
Cullucachi,Locality,Sandia,573
Cupi,Main Locality,Melgar,326
Curva Alegre,Locality,Sandia,393
Cusini,Locality,Puno,252
Cusipata,Locality,Puno,232
Cuyocuyo,Main Locality,Sandia,"1,189"
Desaguadero,Urban Main Locality,Chucuito,"8,635"
Deustua,Urban Main Locality,San Román,"2,214"
Escalera,Locality,Carabaya,340
Escuri Corihuata,Locality,San Román,577
Esquena,Locality,Carabaya,407
Esquen Tariachi Chaupiccacca,Locality,San Román,"1,455"
Estación Pucará,Urban Main Locality,Azangaro,"3,244"
Estancia Suyo,Locality,Puno,201
Ezequiel Urviola Rivera Quilca,Locality,Azangaro,236
Fharata Copani,Locality,El Collao,235
Guitarrani,Locality,Chucuito,"1,921"
Hombrehuaty,Locality,Azangaro,299
Huacani,Locality,Chucuito,"1,244"
Huacullani,Urban Main Locality,Chucuito,"2,469"
Huallatani,Locality,Puno,240
Huañaraya,Locality,Sandia,217
Huancané,Urban Main Locality,Huancané,"7,544"
Huancani,Locality,Chucuito,221
Huancarani,Locality,Azangaro,220
Huancarani,Locality,El Collao,286
Huancasayani,Locality,Sandia,332
Huancasayani Bellavista,Locality,Sandia,205
Huancasayani Centro,Locality,Sandia,205
Huanune,Locality,Chucuito,201
Huanutuyo,Locality,Carabaya,755
Huapaca San Miguel,Locality,Chucuito,754
Huapaca Santiago,Locality,Chucuito,371
Huaracco,Locality,El Collao,469
Huaracuyo,Locality,San Antonio de Putina,271
Huarisani,Locality,Huancané,315
Huata,Main Locality,Puno,384
Huatasani,Main Locality,Huancané,"1,412"
Huaycuyo,Locality,Chucuito,229
Huayllani,Locality,Yunguyo,256
Huayllapata,Locality,San Antonio de Putina,409
Huayrapata,Locality,Puno,231
Huayrapata,Locality,Huancané,238
Huayrapata,Main Locality,Moho,778
Huayrapata Suyo,Locality,Puno,277
Huaytapata,Locality,Lampa,268
Huenccalla,Locality,Puno,247
Huichay Jaran,Locality,San Román,284
Huilasipe,Locality,Puno,359
Huincurani,Locality,Chucuito,275
Hunumani,Locality,Yunguyo,267
Huray Jaran,Locality,San Román,"1,868"
Huyllano Suyo,Locality,Puno,208
Icaco,Locality,Carabaya,206
Ichoccollo,Locality,Azangaro,325
Iguara,Locality,Sandia,716
II Sector,Locality,Huancané,225
Ilave,Urban Main Locality,El Collao,"22,200"
Iña,Locality,Carabaya,479
Iñapampa,Locality,Sandia,412
Incasaya,Locality,San Román,322
Incatiana,Locality,Puno,214
Inchupalla,Main Locality,Huancané,172
Ingave,Locality,Yunguyo,261
Ingavi Chinumani,Locality,Yunguyo,309
Ipacuña,Locality,Azangaro,208
Ipacuni,Locality,Azangaro,210
Irujani,Locality,Chucuito,207
Isani,Locality,Chucuito,280
Iscuani,Locality,Chucuito,336
I Sector,Locality,Huancané,258
Isivilla,Urban Locality,Carabaya,917
Isla,Locality,Azangaro,202
Isla Antipampilla,Locality,San Román,360
Isla Canteria,Locality,San Román,279
Isla Central,Locality,San Román,309
Itapalluni,Locality,Chucuito,218
Jachagani,Locality,Huancané,240
Jacha Huinchoca,Locality,Puno,320
Jacha Queluyo,Locality,Chucuito,513
Jachocco,Locality,El Collao,527
Janansaya,Locality,Sandia,239
Jancocollo,Locality,El Collao,279
Jaquincachi,Locality,El Collao,470
Jarahuaña,Locality,Sandia,293
Jarani,Locality,El Collao,288
Jasana Chico,Locality,Azangaro,206
Jasana Grande,Locality,Azangaro,451
Jayllihuaya,Urban Locality,Puno,"3,771"
Jayu Jayu,Urban Locality,Puno,411
Jesus Maria,Locality,Puno,205
Jila Central,Locality,Azangaro,344
Jilamaico,Locality,El Collao,301
Jocco,Locality,Chucuito,251
Jochi San Francisco,Locality,Puno,561
